Longitude,Latitude,PB_Nreq_Cetin,PB_CSR%
-111.662,41.918,13.839,14.127
-111.528,41.918,14.073,14.36
-111.394,41.918,14.849,15.147
-111.26,41.918,15.692,16.046
-111.126,41.918,17.089,17.691
-112.197,42.027,12.847,13.221
-112.063,42.027,14.94,15.301
-111.929,42.027,14.638,14.996
-111.796,42.027,13.864,14.17
-111.662,42.027,13.791,14.093
-111.528,42.027,14.206,14.507
-111.394,42.027,15.314,15.675
-111.126,42.027,17.196,17.801
-112.935,37.831,10.941,11.667
-112.845,37.831,10.95,11.676
-112.756,37.831,10.822,11.563
-112.845,37.904,11.227,11.904
-112.756,37.904,11.239,11.914
-112.845,37.977,10.873,11.634
-112.756,37.977,11.271,11.959
-111.864,39.794,12.142,12.557
-111.864,39.866,12.783,13.124
-111.775,39.866,12.486,12.855
-111.864,39.939,13.544,13.835
-111.775,39.939,13.772,14.071
-111.685,39.939,12.674,13.04
-111.864,40.012,13.688,13.965
-111.596,40.084,13.039,13.351
-111.596,40.157,13.362,13.63
-111.775,40.23,14.022,14.24
-111.596,40.23,12.977,13.266
-111.775,40.302,14.061,14.278
-111.596,40.302,13.119,13.385
-111.864,40.375,15.021,15.269
-111.685,40.375,14.282,14.507
-111.953,40.448,16.158,16.526
-111.775,40.52,16.755,17.273
-111.775,40.593,17.05,17.621
-111.775,40.666,16.795,17.286
-112.31,40.738,16.482,16.821
-112.221,40.738,17.732,18.377
-112.31,40.811,16.986,17.433
-112.221,40.811,18.747,19.706
-112.131,40.811,19.095,20.26
-111.864,40.811,18.046,18.858
-110.882,40.811,10.27,11.06
-110.793,40.811,9.893,10.802
-112.399,40.884,17.497,18.085
-112.31,40.884,18.077,18.81
-112.221,40.884,17.918,18.597
-112.042,40.884,18.451,19.334
-111.953,40.884,18.846,19.912
-111.864,40.884,18.159,18.997
-110.971,40.884,11.939,12.447
-110.882,40.884,12.198,12.681
-110.793,40.884,11.656,12.242
-112.488,40.956,16.659,17.053
-112.221,40.956,17.804,18.462
-112.042,40.956,17.191,17.679
-111.953,40.956,17.407,17.955
-111.864,40.956,16.516,16.877
-110.971,40.956,12.515,12.935
-112.488,41.029,17.589,18.203
-112.221,41.029,17.498,18.07
-112.042,41.029,16.744,17.123
-111.953,41.029,16.534,16.867
-111.864,41.029,15.469,15.671
-110.971,41.029,13.35,13.715
-112.578,41.102,16.756,17.195
-112.488,41.102,17.672,18.307
-112.399,41.102,18.338,19.152
-112.31,41.102,17.421,17.964
-111.864,41.102,15.132,15.33
-112.667,41.174,14.922,15.111
-112.399,41.174,17.38,17.931
-111.864,41.174,15.377,15.614
-112.578,41.247,15.966,16.261
-112.488,41.247,16.447,16.781
-112.131,41.247,16.799,17.204
-112.667,41.32,13.5,13.669
-112.578,41.32,14.719,14.867
-112.131,41.32,18.184,19.029
-111.953,41.32,18.876,20.073
-112.667,41.392,12.968,13.187
-112.578,41.392,13.608,13.777
-112.131,41.392,18.438,19.411
-112.042,41.392,19.029,20.282
-111.953,41.392,17.56,18.294
-112.131,41.465,17.679,18.427
-111.953,41.465,17.286,17.926
-112.131,41.538,17.247,17.897
-112.042,41.538,17.932,18.79
-111.953,41.538,16.925,17.518
-112.221,41.61,15.728,16.108
-112.131,41.61,16.918,17.517
-112.042,41.61,17.344,18.06
-112.131,41.683,15.484,15.835
-112.042,41.683,16.243,16.72
-111.061,41.829,18.12,19.019
-110.971,41.901,22.79,26.497
-111.061,41.974,18.917,20.13
-110.971,41.974,23.077,27.011
-111.328,42.047,15.896,16.317
-111.239,42.047,16.533,17.028
-111.061,42.047,18.729,19.838
-110.971,42.047,22.17,25.305
-111.887,40.503,18.618,19.663
-111.843,40.503,18.578,19.614
-111.887,40.539,18.158,19.026
-111.843,40.539,18.056,18.909
-111.843,40.576,18.196,19.086
-111.887,40.612,18.653,19.671
-111.843,40.612,18.456,19.425
-111.932,40.648,19.113,20.3
-111.887,40.648,19.758,21.304
-111.843,40.648,18.783,19.829
-111.976,40.685,20.518,22.399
-111.932,40.685,19.975,21.568
-111.887,40.685,19.369,20.683
-111.843,40.685,18.776,19.811
-111.976,40.721,19.815,21.316
-111.932,40.721,20.408,22.219
-111.887,40.721,19.349,20.646
-111.976,40.757,20.823,22.889
-111.932,40.757,19.917,21.486
-111.887,40.757,19.253,20.506
-112.021,40.794,20.599,22.521
-111.976,40.794,20.68,22.651
-111.932,40.794,20.091,21.766
-112.021,40.83,21.332,23.72
-111.976,40.83,21.433,23.886
-111.932,40.83,21.326,23.738
-111.887,40.83,19.418,20.736
-111.976,40.866,19.931,21.489
-111.932,40.866,19.953,21.546
-111.887,40.866,19.378,20.68
-111.932,40.903,18.455,19.372
-111.887,40.903,18.259,19.115
-112.378,40.939,18.923,19.989
-112.333,40.939,19.076,20.21
-110.862,40.939,15.531,16.154
-110.817,40.939,15.291,15.904
-112.422,40.976,19.263,20.484
-112.378,40.976,19.638,21.003
