Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-112.24,39.166,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.516236779
-112.148,39.167,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5965115
-112.055,39.168,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.672379199
-111.963,39.169,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.731219282
-111.87,39.17,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.775883029
-111.777,39.17,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.774872677
-111.685,39.171,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.773811719
-111.592,39.171,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.755083347
-111.5,39.172,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.728190875
-111.407,39.172,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.698419351
-111.314,39.172,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.628195615
-111.222,39.173,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.548820633
-111.129,39.173,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.037,39.173,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.944,39.173,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.851,39.173,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.759,39.173,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.666,39.172,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.574,39.172,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.481,39.172,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.388,39.171,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.296,39.171,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.203,39.17,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.612,39.234,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.52,39.235,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.427,39.236,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.334,39.237,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.242,39.238,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
