Longitude,Latitude,DET_ana_Type,***Performance_Based***,PB_amax,PB_Mw,PB_FSliq_Cetin,PB_FSliq_IandB,PB_FSliq_Juang,PB_Nreq_Cetin,PB_Nreq_IandB,PB_Nreq_Juang,PB_ana_Type,PB_Return_P.,PB_CSR%
-113.904,40.307,Mean,***|,N/A,N/A,2.845,2.814,N/A,3.387,1,N/A,N/A,1033,7.434
-113.568,40.307,Mean,***|,N/A,N/A,2.697,2.814,N/A,4.115,1,N/A,N/A,1033,7.434
-113.233,40.307,Mean,***|,N/A,N/A,2.265,2.515,N/A,6.532,2.607,N/A,N/A,1033,8.325
-109.206,40.307,Mean,***|,N/A,N/A,3.077,2.814,N/A,2.301,1,N/A,N/A,1033,7.434
-108.871,40.307,Mean,***|,N/A,N/A,3.258,2.814,N/A,1.515,1,N/A,N/A,1033,7.434
-114.239,40.579,Mean,***|,N/A,N/A,2.493,2.727,N/A,5.203,1.455,N/A,N/A,1033,7.677
-113.904,40.579,Mean,***|,N/A,N/A,2.677,2.814,N/A,4.22,1,N/A,N/A,1033,7.434
-113.568,40.579,Mean,***|,N/A,N/A,2.511,2.772,N/A,5.1,1.22,N/A,N/A,1033,7.551
-113.233,40.579,Mean,***|,N/A,N/A,2.092,2.33,N/A,7.625,3.703,N/A,N/A,1033,8.982
-109.206,40.579,Mean,***|,N/A,N/A,3.048,2.814,N/A,2.437,1,N/A,N/A,1033,7.434
-108.871,40.579,Mean,***|,N/A,N/A,3.208,2.814,N/A,1.727,1,N/A,N/A,1033,7.434
-114.239,40.851,Mean,***|,N/A,N/A,2.34,2.56,N/A,6.076,2.353,N/A,N/A,1033,8.178
-113.904,40.851,Mean,***|,N/A,N/A,2.486,2.728,N/A,5.243,1.449,N/A,N/A,1033,7.674
-113.568,40.851,Mean,***|,N/A,N/A,2.303,2.544,N/A,6.299,2.442,N/A,N/A,1033,8.229
-113.233,40.851,Mean,***|,N/A,N/A,1.928,2.149,N/A,8.75,4.888,N/A,N/A,1033,9.736
-109.542,40.851,Mean,***|,N/A,N/A,2.761,2.814,N/A,3.793,1,N/A,N/A,1033,7.434
-109.206,40.851,Mean,***|,N/A,N/A,3.057,2.814,N/A,2.395,1,N/A,N/A,1033,7.434
-108.871,40.851,Mean,***|,N/A,N/A,3.25,2.814,N/A,1.549,1,N/A,N/A,1033,7.434
-114.239,41.123,Mean,***|,N/A,N/A,2.254,2.464,N/A,6.598,2.893,N/A,N/A,1033,8.493
-113.904,41.123,Mean,***|,N/A,N/A,2.265,2.483,N/A,6.529,2.788,N/A,N/A,1033,8.431
-113.568,41.123,Mean,***|,N/A,N/A,2.047,2.258,N/A,7.919,4.164,N/A,N/A,1033,9.27
-109.542,41.123,Mean,***|,N/A,N/A,2.707,2.814,N/A,4.065,1,N/A,N/A,1033,7.434
-109.206,41.123,Mean,***|,N/A,N/A,2.985,2.814,N/A,2.72,1,N/A,N/A,1033,7.434
-108.871,41.123,Mean,***|,N/A,N/A,3.163,2.814,N/A,1.92,1,N/A,N/A,1033,7.434
