Lon,Lat,D (m)
-111.953,41.446,1.7239
-111.873,41.446,1.13761
-112.756,41.508,1.2648
-112.274,41.508,0.46282
-112.194,41.508,0.65599
-112.114,41.508,1.0683
-112.034,41.508,2.30671
-111.953,41.508,2.10353
-111.873,41.508,1.02341
-112.274,41.57,0.51317
-112.194,41.57,0.73166
-112.114,41.57,1.26196
-112.034,41.57,4.20136
-111.953,41.57,1.39575
-111.873,41.57,0.96716
-112.274,41.632,0.47668
-112.194,41.632,0.78853
-112.114,41.632,1.61867
-112.034,41.632,2.69628
-111.953,41.632,1.26073
-112.194,41.694,0.68436
-112.114,41.694,1.14044
-112.034,41.694,1.4715
-111.953,41.694,0.99704
-112.114,41.755,0.67671
-112.034,41.755,0.7529
-112.114,41.817,0.52047
-112.034,41.817,0.54426
-111.953,41.817,0.46837
-111.873,41.817,0.43357
-111.071,41.817,0.7845
-112.114,41.879,0.77514
-112.034,41.879,0.93312
-111.953,41.879,0.49727
-111.873,41.879,0.41195
-111.311,41.879,1.81224
-111.151,41.879,0.7865
-111.071,41.879,0.82586
-112.194,41.941,0.47031
-112.114,41.941,1.78538
-112.034,41.941,0.96231
-111.953,41.941,0.515
-111.873,41.941,0.40732
-111.392,41.941,0.91356
-111.311,41.941,1.88875
-111.231,41.941,1.33721
-111.151,41.941,0.84681
-111.071,41.941,1.72738
-112.194,42.002,0.48847
-112.114,42.002,2.04812
-112.034,42.002,0.96902
-111.953,42.002,0.50564
-111.873,42.002,0.38899
-111.392,42.002,0.91064
-111.311,42.002,1.671
-111.231,42.002,2.06576
-111.151,42.002,0.93209
-111.071,42.002,1.5358
-112.114,42.064,1.0217
-112.034,42.064,1.02806
-111.953,42.064,0.51316
-111.392,42.064,0.91014
-111.311,42.064,1.62366
-111.071,42.064,1.48031
-112.509,37.383,0.37499
-112.394,37.383,0.23563
-112.623,37.471,0.28939
-112.509,37.471,0.47127
-112.394,37.471,0.37775
-112.279,37.471,0.18466
-112.853,37.56,0.26131
-112.623,37.56,0.2538
-112.509,37.56,0.37279
-112.394,37.56,0.47652
-112.279,37.56,0.23323
-113.082,37.648,0.29482
-112.968,37.648,0.3396
-112.853,37.648,0.34538
-112.738,37.648,0.28581
-112.623,37.648,0.25086
-112.509,37.648,0.30176
-112.394,37.648,0.40191
-112.279,37.648,0.27701
-113.197,37.736,0.20952
-113.082,37.736,0.29186
-112.968,37.736,0.48321
-112.853,37.736,0.77322
-112.738,37.736,0.40559
-112.623,37.736,0.29526
-112.509,37.736,0.26509
-112.394,37.736,0.30716
-112.279,37.736,0.25634
-113.197,37.824,0.18486
-113.082,37.824,0.27863
-112.968,37.824,0.51689
-112.853,37.824,1.59414
-112.738,37.824,0.89426
-112.623,37.824,0.37875
-112.509,37.824,0.28109
-113.197,37.912,0.15713
-113.082,37.912,0.21841
-112.968,37.912,0.32695
-112.853,37.912,0.63105
-112.738,37.912,2.53323
-112.623,37.912,0.52404
-112.509,37.912,0.29653
-113.197,38.001,0.12193
-113.082,38.001,0.16141
-112.968,38.001,0.23619
-112.853,38.001,0.41345
-112.738,38.001,1.02506
-112.623,38.001,0.59387
-112.509,38.001,0.298
-113.082,38.089,0.12989
-112.968,38.089,0.18347
-112.853,38.089,0.26806
-112.738,38.089,0.3398
-112.623,38.089,0.3123
-112.509,38.089,0.23626
-113.082,38.177,0.10528
-112.968,38.177,0.13715
-112.853,38.177,0.17006
-112.738,38.177,0.19203
-112.623,38.177,0.19376
-112.509,38.177,0.18034
-112.853,38.265,0.12185
-112.738,38.265,0.13755
-111.477,39.148,0.13147
-111.362,39.148,0.12926
-111.247,39.148,0.11373
-111.935,39.236,0.15672
-111.477,39.236,0.13794
-111.362,39.236,0.13873
-111.247,39.236,0.12249
-111.133,39.236,0.0965
-112.165,39.324,0.12545
-112.05,39.324,0.17335
-111.935,39.324,0.21398
-111.821,39.324,0.20058
-111.591,39.324,0.14258
-111.477,39.324,0.14433
-111.362,39.324,0.14444
-111.247,39.324,0.12659
-111.133,39.324,0.1005
-112.165,39.412,0.14596
-112.05,39.412,0.21396
-111.935,39.412,0.27882
-111.821,39.412,0.26729
-111.706,39.412,0.19848
-111.591,39.412,0.16422
-111.477,39.412,0.15564
