Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.407,39.1,Mean,***|,N/A,1033,0.001210884,0.121088374,0,0,0.001210884,0,0.757218377,2.262596303
-111.314,39.1,Mean,***|,N/A,1033,0.001466345,0.146634501,0,0,0.001466345,0,0.674419023,2.129164883
-111.222,39.101,Mean,***|,N/A,1033,0.001943055,0.194305527,0,0,0.001943055,0,0.534188313,1.916771375
-111.129,39.101,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.690727126
-111.037,39.101,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.424829916
-110.944,39.101,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.21087029
-110.851,39.101,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.004517244
-110.759,39.101,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.849905702
-110.666,39.1,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.708070848
-110.574,39.1,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.597701932
-110.481,39.1,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.506371884
-110.389,39.099,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.204,39.098,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-112.703,39.16,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.615734088
-112.611,39.162,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.770103698
-112.518,39.163,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.93046964
-112.426,39.164,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.127792887
-112.333,39.165,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.325406315
-112.24,39.166,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.516133854
-112.148,39.167,Mean,***|,N/A,1033,0.001931527,0.193152681,0,0,0.001931527,0,0.5,1.729573348
-112.055,39.168,Mean,***|,N/A,1033,0.00151758,0.151758042,0,0,0.00151758,0,0.558263594,1.940368343
-111.963,39.169,Mean,***|,N/A,1033,0.001208643,0.120864273,0,0,0.001208643,0,0.665484175,2.099608205
-111.87,39.17,Mean,***|,N/A,1033,0.001010868,0.101086804,0,0,0.001010868,0,0.748949661,2.232494715
-111.777,39.17,Mean,***|,N/A,1033,0.000995138,0.099513777,0,0,0.000995138,0,0.75663596,2.240030097
-111.685,39.171,Mean,***|,N/A,1033,0.000994404,0.099440364,0,0,0.000994404,0,0.765743741,2.257335082
-111.592,39.171,Mean,***|,N/A,1033,0.00102404,0.102404037,0,0,0.00102404,0,0.766353296,2.263571974
