Long,Lat,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-110.293,39.459,0,0,0.5,1.781576052
-110.2,39.458,0,0,0.5,1.58937351
-112.526,39.523,0.145424897,0,0.5,1.772180561
-112.433,39.524,0.260658452,0,0.759281964,2.199923511
-112.34,39.526,0.331521145,0,1.135804811,2.706571199
-112.247,39.527,0.568155118,0.10596643,1.71213378,3.363656168
-112.154,39.528,0.726354552,0.441068668,2.823492733,4.443250696
-112.061,39.528,1.175739837,1.052478437,4.987282178,6.246761263
-111.781,39.531,1.217928534,1.355114818,6.7271132,7.679847046
-111.688,39.531,1.051771445,0.988088693,4.449112036,5.941841407
-111.595,39.532,0.962113021,0.77882438,3.767961001,5.401535295
-111.502,39.532,0.803346628,0.634317082,3.657604334,5.340078694
-111.409,39.533,0.956024303,0.743470077,4.304122288,5.962411666
-111.316,39.533,0.908721399,0.855508579,5.231278354,6.911067441
-111.223,39.533,0.966263861,0.734396504,4.936259323,6.776219757
-111.13,39.533,0.613995989,0.487114503,3.043567197,4.987592954
-111.037,39.533,0.593106576,0.275994742,2.15183981,4.116304726
-110.944,39.533,0.313170563,0.158708684,1.710592723,3.65637817
-110.851,39.533,0.38440979,0,1.471329107,3.40678216
-110.757,39.533,0.285174057,0,1.102140112,2.899680674
-110.664,39.533,0.140565885,0,0.912002457,2.614125194
-110.571,39.533,0.192667668,0,0.758286262,2.361582207
-110.478,39.532,0,0,0.618759911,2.126551204
-110.385,39.532,0,0,0.5,1.907970914
-110.292,39.531,0,0,0.5,1.712558212
-110.199,39.531,0,0,0.5,1.525785113
-112.434,39.597,0.251314883,0,0.734369489,2.154169525
-112.341,39.598,0.335903318,0,1.055173491,2.586148474
-112.248,39.599,0.558463363,0.10346055,1.682976423,3.293572894
-112.155,39.6,0.899975052,0.413811711,2.855562471,4.404454246
-112.062,39.601,1.193795079,1.09571991,4.95375762,6.112908835
-111.782,39.603,1.429125394,1.506040714,9.830127554,9.63857207
-111.689,39.603,1.274709783,1.255310116,5.857239142,6.874915817
-111.596,39.604,1.096903622,0.872753547,4.089708117,5.595271713
-111.503,39.604,0.989852343,0.623165106,3.544956028,5.202232632
-111.41,39.605,0.811296985,0.644395728,3.747980866,5.414729969
-111.316,39.605,0.800219868,0.610571627,4.195305247,5.936668964
-111.223,39.605,0.898294691,0.546590324,3.656410481,5.502770089
-111.13,39.605,0.669529462,0.364856197,2.5969146,4.489262862
-111.037,39.605,0.415890211,0.104176755,1.966125112,3.872622246
-110.944,39.605,0.321647461,0.169017016,1.627680476,3.527269964
-110.85,39.605,0.208495222,0,1.347377846,3.204391301
-110.757,39.605,0.289260944,0,1.064182777,2.82457158
-110.664,39.605,0.154195916,0,0.826593526,2.447852824
-110.571,39.605,0,0,0.649575955,2.166909614
-110.478,39.604,0,0,0.575790222,2.050438893
-110.385,39.604,0,0,0.5,1.864465242
-110.291,39.603,0,0,0.5,1.729171654
-110.198,39.603,0,0,0.5,1.508475162
-112.436,39.669,0.254450694,0,0.692693749,2.089875962
-112.343,39.67,0.319382836,0,1.084065379,2.604757005
